DyeingID,FactoryID,BatchID,FabricType,Shade,StartTime,EndTime,GreyKG,FinishKG,BatchLossPct,ReprocessFlag
1,1,B9425,Denim,White,2022-02-27,2022-02-27 20:00:00,1926,1856,3.61,0
2,1,B6421,Denim,Sky Blue,2024-11-08,2024-11-08 19:00:00,2253,2170,3.66,0
3,1,B9297,Twill,Sky Blue,2025-08-18,2025-08-18 19:00:00,2342,2244,4.16,0
4,1,B3745,Rib,Red,2024-01-04,2024-01-04 20:00:00,1883,1806,4.04,0
5,1,B5581,Denim,Marl Grey,2023-08-19,2023-08-19 11:00:00,1890,1796,4.93,0
6,1,B6199,Denim,Olive,2023-07-22,2023-07-22 15:00:00,1228,1178,4.01,0
7,1,B2944,Single Jersey,Sky Blue,2023-08-10,2023-08-10 20:00:00,2253,2119,5.94,1
8,1,B1102,Single Jersey,Black,2025-08-17,2025-08-17 09:00:00,1138,1078,5.21,0
9,1,B4802,Single Jersey,Navy,2025-10-27,2025-10-27 19:00:00,1037,989,4.57,0
10,1,B2896,Interlock,Sky Blue,2025-09-22,2025-09-22 11:00:00,1799,1758,2.28,1
11,1,B8872,Single Jersey,White,2022-05-20,2022-05-20 17:00:00,1335,1274,4.53,0
12,1,B3984,Single Jersey,Olive,2022-01-28,2022-01-28 15:00:00,1742,1687,3.14,0
13,1,B7276,Twill,White,2023-10-10,2023-10-10 17:00:00,2509,2444,2.58,0
14,1,B4638,Twill,Red,2023-06-26,2023-06-26 12:00:00,2306,2193,4.88,0
15,1,B3452,Single Jersey,Navy,2025-06-26,2025-06-26 17:00:00,2000,1892,5.38,0
16,1,B3747,Interlock,Olive,2024-03-06,2024-03-06 09:00:00,1356,1277,5.8,1
17,1,B3832,Denim,Sky Blue,2025-10-19,2025-10-19 07:00:00,933,886,4.95,0
18,1,B3069,Rib,White,2024-02-17,2024-02-17 16:00:00,1086,1026,5.51,0
19,1,B5994,Denim,Black,2022-09-21,2022-09-21 07:00:00,741,715,3.51,1
20,1,B9512,Rib,Red,2025-11-09,2025-11-09 14:00:00,1574,1511,3.96,0
21,1,B8588,Interlock,Black,2023-11-05,2023-11-05 14:00:00,2681,2609,2.66,0
22,1,B2426,Twill,Navy,2022-09-26,2022-09-26 11:00:00,1240,1170,5.6,0
23,1,B5265,Interlock,White,2024-04-13,2024-04-13 19:00:00,1588,1525,3.94,0
24,1,B1535,Interlock,Navy,2023-09-20,2023-09-20 16:00:00,869,833,4.04,0
25,1,B8431,Twill,Marl Grey,2024-07-06,2024-07-06 06:00:00,2768,2685,2.96,1
26,1,B3976,Twill,Black,2025-09-16,2025-09-16 09:00:00,2420,2354,2.7,0
27,1,B4249,Twill,Sky Blue,2024-09-23,2024-09-23 08:00:00,1389,1309,5.7,0
28,1,B1479,Interlock,Navy,2025-04-21,2025-04-21 20:00:00,1206,1174,2.62,0
29,1,B4507,Twill,Navy,2024-06-26,2024-06-26 16:00:00,912,867,4.93,0
30,1,B2234,Interlock,Navy,2025-04-09,2025-04-09 08:00:00,2765,2648,4.2,0
31,1,B6326,Interlock,Marl Grey,2024-04-27,2024-04-27 14:00:00,1501,1423,5.16,0
32,1,B4329,Interlock,White,2025-10-19,2025-10-19 17:00:00,1761,1706,3.07,0
33,1,B8586,Twill,Navy,2023-03-30,2023-03-30 06:00:00,1161,1100,5.23,0
34,1,B6449,Interlock,Sky Blue,2024-04-14,2024-04-14 13:00:00,1539,1472,4.31,0
35,1,B2908,Rib,Red,2024-05-25,2024-05-25 13:00:00,2972,2814,5.3,0
36,1,B1044,Rib,White,2025-04-30,2025-04-30 11:00:00,1214,1168,3.76,0
37,1,B5038,Denim,Red,2024-08-20,2024-08-20 09:00:00,2658,2508,5.64,0
38,1,B9033,Interlock,Navy,2023-04-12,2023-04-12 14:00:00,2873,2706,5.8,0
39,1,B4981,Rib,Navy,2025-05-04,2025-05-04 07:00:00,615,582,5.25,0
40,1,B3207,Interlock,Red,2025-05-19,2025-05-19 20:00:00,722,691,4.19,0
41,1,B1728,Interlock,Sky Blue,2023-06-13,2023-06-13 16:00:00,2770,2660,3.96,0
42,1,B8628,Denim,White,2025-01-05,2025-01-05 16:00:00,2572,2431,5.45,0
43,1,B4450,Interlock,Marl Grey,2022-11-08,2022-11-08 14:00:00,2606,2516,3.43,0
