FinishingID,OrderID,FactoryID,StyleID,DateKey,FinishingDate,FinishedQty,PackedQty,RejectQty
1,1,3,35,20250716,2025-07-16,388,370,18
2,1,3,35,20250717,2025-07-17,1263,1239,24
3,1,3,35,20250719,2025-07-19,1417,1365,52
4,1,3,35,20250720,2025-07-20,695,674,21
5,1,3,35,20250721,2025-07-21,1036,983,53
6,1,3,35,20250722,2025-07-22,741,726,15
7,1,3,35,20250723,2025-07-23,390,376,14
8,1,3,35,20250724,2025-07-24,1025,975,50
9,1,3,35,20250726,2025-07-26,1118,1074,44
10,1,3,35,20250727,2025-07-27,1403,1357,46
11,1,3,35,20250728,2025-07-28,846,830,16
12,1,3,35,20250729,2025-07-29,546,522,24
13,1,3,35,20250730,2025-07-30,934,913,21
14,1,3,35,20250731,2025-07-31,391,371,20
15,1,3,35,20250802,2025-08-02,1012,972,40
16,1,3,35,20250803,2025-08-03,564,530,34
17,1,3,35,20250804,2025-08-04,685,649,36
18,1,3,35,20250805,2025-08-05,839,805,34
19,1,3,35,20250806,2025-08-06,808,793,15
20,1,3,35,20250807,2025-08-07,844,812,32
21,2,1,47,20230520,2023-05-20,841,816,25
22,2,1,47,20230521,2023-05-21,833,800,33
23,2,1,47,20230522,2023-05-22,601,566,35
24,2,1,47,20230523,2023-05-23,531,519,12
25,2,1,47,20230524,2023-05-24,900,860,40
26,2,1,47,20230525,2023-05-25,551,533,18
27,2,1,47,20230527,2023-05-27,1211,1171,40
28,2,1,47,20230528,2023-05-28,900,890,10
29,2,1,47,20230529,2023-05-29,1014,977,37
30,2,1,47,20230530,2023-05-30,865,849,16
31,2,1,47,20230531,2023-05-31,917,885,32
32,2,1,47,20230601,2023-06-01,670,659,11
33,2,1,47,20230603,2023-06-03,586,567,19
34,3,3,56,20240302,2024-03-02,1603,1583,20
35,3,3,56,20240303,2024-03-03,2948,2852,96
36,3,3,56,20240304,2024-03-04,1047,1022,25
37,3,3,56,20240305,2024-03-05,3342,3158,184
38,3,3,56,20240306,2024-03-06,518,496,22
39,3,3,56,20240307,2024-03-07,3836,3737,99
40,3,3,56,20240309,2024-03-09,1272,1259,13
41,3,3,56,20240310,2024-03-10,1955,1865,90
42,3,3,56,20240311,2024-03-11,3258,3139,119
43,3,3,56,20240312,2024-03-12,2992,2884,108
44,3,3,56,20240313,2024-03-13,792,782,10
45,3,3,56,20240314,2024-03-14,3341,3194,147
46,3,3,56,20240316,2024-03-16,3753,3694,59
47,3,3,56,20240317,2024-03-17,3485,3361,124
48,4,3,6,20220203,2022-02-03,2032,2003,29
49,4,3,6,20220205,2022-02-05,3513,3306,207
50,4,3,6,20220206,2022-02-06,3082,2998,84
51,4,3,6,20220207,2022-02-07,1588,1511,77
52,4,3,6,20220208,2022-02-08,1309,1232,77
53,4,3,6,20220209,2022-02-09,3753,3600,153
54,4,3,6,20220210,2022-02-10,741,703,38
55,4,3,6,20220212,2022-02-12,1610,1563,47
56,4,3,6,20220213,2022-02-13,2518,2448,70
57,4,3,6,20220214,2022-02-14,3203,3149,54
58,4,3,6,20220215,2022-02-15,1506,1474,32
59,4,3,6,20220216,2022-02-16,1789,1767,22
60,4,3,6,20220217,2022-02-17,1826,1758,68
61,4,3,6,20220219,2022-02-19,1054,1005,49
62,5,2,67,20250921,2025-09-21,8153,7775,378
63,5,2,67,20250922,2025-09-22,6881,6675,206
64,5,2,67,20250923,2025-09-23,9038,8756,282
65,5,2,67,20250924,2025-09-24,12365,12080,285
66,5,2,67,20250925,2025-09-25,9679,9575,104
67,5,2,67,20250927,2025-09-27,10393,10211,182
68,5,2,67,20250928,2025-09-28,5971,5872,99
69,5,2,67,20250929,2025-09-29,5751,5672,79
70,5,2,67,20250930,2025-09-30,10421,9970,451
71,5,2,67,20251001,2025-10-01,10081,9664,417
72,5,2,67,20251002,2025-10-02,9433,9109,324
73,6,2,59,20251018,2025-10-18,11845,11560,285
74,6,2,59,20251019,2025-10-19,12306,11761,545
75,6,2,59,20251020,2025-10-20,11634,11133,501
76,6,2,59,20251021,2025-10-21,18175,17493,682
77,6,2,59,20251022,2025-10-22,7222,6955,267
78,6,2,59,20251023,2025-10-23,13432,13127,305
79,6,2,59,20251025,2025-10-25,14595,14438,157
80,6,2,59,20251026,2025-10-26,4762,4483,279
81,6,2,59,20251027,2025-10-27,8277,8064,213
82,6,2,59,20251028,2025-10-28,6363,6212,151
83,7,1,29,20240102,2024-01-02,3874,3810,64
84,7,1,29,20240103,2024-01-03,2692,2617,75
85,7,1,29,20240104,2024-01-04,2702,2639,63
86,7,1,29,20240106,2024-01-06,3499,3302,197
87,7,1,29,20240107,2024-01-07,2768,2647,121
88,7,1,29,20240108,2024-01-08,3129,3021,108
89,7,1,29,20240109,2024-01-09,3434,3298,136
90,7,1,29,20240110,2024-01-10,2239,2145,94
91,7,1,29,20240111,2024-01-11,5671,5536,135
