KnittingID,FactoryID,MachineID,DateKey,Date,RPM,EfficiencyPct,RunHours,ProductionKG,MajorFault,StopMinutes
1,1,KM-045,20250626,2025-06-26,817,81.8,15,183,Barré,32
2,1,KM-036,20230616,2023-06-16,830,75.4,11,136,Needle Mark,32
3,1,KM-039,20240120,2024-01-20,603,80.6,21,189,Slub,20
4,1,KM-046,20220317,2022-03-17,856,72.3,22,282,Barré,41
5,1,KM-024,20231130,2023-11-30,617,91.4,17,157,Uneven Loop,50
6,1,KM-024,20250205,2025-02-05,657,80.7,19,187,Hole,14
7,1,KM-047,20240226,2024-02-26,869,91.6,20,260,Oil Spot,34
8,1,KM-034,20251106,2025-11-06,640,79.1,17,163,Hole,20
9,1,KM-031,20240411,2024-04-11,639,83.5,16,153,Barré,24
10,1,KM-040,20250722,2025-07-22,627,89.4,16,150,Hole,35
11,1,KM-030,20250715,2025-07-15,862,89.5,17,219,Slub,26
12,1,KM-027,20250227,2025-02-27,780,90.9,20,234,Oil Spot,23
13,1,KM-011,20220108,2022-01-08,618,83.8,17,157,Slub,24
14,1,KM-047,20221120,2022-11-20,888,72.0,18,239,Uneven Loop,42
15,1,KM-011,20230420,2023-04-20,893,66.4,12,160,Slub,44
16,1,KM-002,20221003,2022-10-03,746,78.1,10,111,Barré,9
17,1,KM-018,20240130,2024-01-30,729,68.6,12,131,Oil Spot,59
18,1,KM-017,20231019,2023-10-19,607,85.0,17,154,Needle Mark,42
19,1,KM-048,20250915,2025-09-15,677,82.8,13,132,Needle Mark,21
20,1,KM-045,20250408,2025-04-08,720,78.1,20,216,Barré,60
21,1,KM-003,20231119,2023-11-19,775,91.6,10,116,Barré,57
22,1,KM-010,20220209,2022-02-09,853,85.3,14,179,Uneven Loop,20
23,1,KM-043,20250216,2025-02-16,825,84.6,10,123,Needle Mark,41
24,1,KM-047,20250903,2025-09-03,776,66.5,12,139,Hole,8
25,1,KM-011,20220927,2022-09-27,837,75.8,12,150,Uneven Loop,52
26,1,KM-049,20250720,2025-07-20,872,71.3,18,235,Slub,29
27,1,KM-031,20230202,2023-02-02,734,68.9,21,231,Uneven Loop,5
28,1,KM-019,20231123,2023-11-23,829,75.3,13,161,Barré,48
29,1,KM-003,20230116,2023-01-16,649,89.8,18,175,Oil Spot,59
30,1,KM-028,20251018,2025-10-18,739,74.0,12,133,Hole,21
31,1,KM-042,20250515,2025-05-15,899,75.6,20,269,Slub,52
32,1,KM-016,20250902,2025-09-02,699,79.0,18,188,Slub,16
33,1,KM-021,20230328,2023-03-28,880,65.3,8,105,Hole,5
34,1,KM-027,20230121,2023-01-21,650,79.2,18,175,Uneven Loop,27
35,1,KM-015,20220821,2022-08-21,745,71.8,8,89,Hole,44
36,1,KM-006,20240109,2024-01-09,629,90.3,18,169,Needle Mark,43
37,1,KM-041,20231219,2023-12-19,662,84.1,9,89,Hole,59
38,1,KM-039,20241002,2024-10-02,666,75.2,20,199,Slub,41
39,1,KM-012,20230520,2023-05-20,656,83.8,12,118,Oil Spot,34
40,1,KM-043,20250120,2025-01-20,638,82.2,22,210,Oil Spot,54
41,1,KM-028,20240708,2024-07-08,765,71.9,20,229,Hole,22
42,1,KM-050,20230413,2023-04-13,631,75.3,13,123,Hole,21
43,1,KM-017,20220607,2022-06-07,691,76.9,15,155,Needle Mark,44
44,1,KM-026,20220728,2022-07-28,691,82.4,9,93,Needle Mark,39
45,1,KM-050,20230829,2023-08-29,820,70.9,18,221,Hole,33
46,1,KM-046,20250507,2025-05-07,732,67.8,9,98,Hole,41
47,1,KM-047,20220902,2022-09-02,728,86.0,8,87,Uneven Loop,14
48,1,KM-042,20241017,2024-10-17,600,90.2,18,162,Uneven Loop,22
49,1,KM-010,20251007,2025-10-07,768,89.4,17,195,Hole,37
50,1,KM-046,20251115,2025-11-15,851,77.9,14,178,Slub,54
51,1,KM-005,20221113,2022-11-13,876,71.1,14,183,Slub,57
52,1,KM-050,20241114,2024-11-14,846,68.3,16,203,Oil Spot,26
53,1,KM-044,20230526,2023-05-26,755,75.8,18,203,Slub,10
54,1,KM-024,20220713,2022-07-13,873,88.0,13,170,Hole,58
55,1,KM-030,20231221,2023-12-21,748,82.5,10,112,Barré,7
56,1,KM-025,20221201,2022-12-01,697,73.1,14,146,Hole,45
57,1,KM-045,20220411,2022-04-11,783,78.1,22,258,Slub,33
58,1,KM-048,20231119,2023-11-19,697,68.8,11,115,Hole,51
59,1,KM-038,20250721,2025-07-21,722,78.2,9,97,Barré,46
60,1,KM-020,20221031,2022-10-31,855,79.4,21,269,Uneven Loop,6
61,1,KM-003,20221013,2022-10-13,773,66.5,20,231,Slub,7
62,1,KM-026,20241112,2024-11-12,660,70.7,18,178,Slub,38
63,1,KM-030,20240710,2024-07-10,874,69.0,17,222,Needle Mark,9
64,1,KM-003,20251007,2025-10-07,672,78.2,8,80,Uneven Loop,44
65,1,KM-003,20220713,2022-07-13,724,83.9,10,108,Hole,16
66,1,KM-041,20240321,2024-03-21,625,89.4,21,196,Hole,34
67,1,KM-040,20230304,2023-03-04,687,87.6,9,92,Hole,12
68,1,KM-032,20240819,2024-08-19,712,66.7,11,117,Uneven Loop,26
69,1,KM-048,20240518,2024-05-18,805,73.8,18,217,Barré,39
70,1,KM-009,20250812,2025-08-12,764,87.6,20,229,Needle Mark,53
71,1,KM-003,20250711,2025-07-11,688,74.1,9,92,Oil Spot,14
72,1,KM-049,20250826,2025-08-26,812,69.5,13,158,Barré,15
73,1,KM-029,20240624,2024-06-24,724,90.0,8,86,Needle Mark,11
74,1,KM-041,20220319,2022-03-19,792,86.0,8,95,Uneven Loop,10
75,1,KM-001,20231026,2023-10-26,603,69.8,9,81,Slub,46
76,1,KM-038,20220920,2022-09-20,745,76.2,20,223,Uneven Loop,49
77,1,KM-009,20241016,2024-10-16,705,68.9,12,126,Barré,33
78,1,KM-027,20240621,2024-06-21,722,90.3,17,184,Slub,7
79,1,KM-039,20251001,2025-10-01,692,84.4,17,176,Hole,45
80,1,KM-020,20231125,2023-11-25,778,76.3,16,186,Needle Mark,17
81,1,KM-008,20220716,2022-07-16,871,91.4,17,222,Oil Spot,60
82,1,KM-049,20220627,2022-06-27,876,78.7,15,197,Slub,47
83,1,KM-014,20240918,2024-09-18,741,66.4,9,100,Needle Mark,48
84,1,KM-031,20221120,2022-11-20,854,69.8,18,230,Hole,8
85,1,KM-042,20250828,2025-08-28,786,72.7,14,165,Oil Spot,26
86,1,KM-040,20240930,2024-09-30,832,66.2,19,237,Hole,39
87,1,KM-012,20250601,2025-06-01,680,86.2,15,153,Barré,12
88,1,KM-005,20231125,2023-11-25,720,84.5,17,183,Barré,25
89,1,KM-027,20240430,2024-04-30,701,85.2,22,231,Oil Spot,19
90,1,KM-050,20220205,2022-02-05,656,73.8,9,88,Needle Mark,52
91,1,KM-027,20240429,2024-04-29,702,75.1,11,115,Hole,35
92,1,KM-038,20230103,2023-01-03,848,66.5,14,178,Needle Mark,18
93,1,KM-040,20221203,2022-12-03,832,69.8,13,162,Needle Mark,34
94,1,KM-047,20250525,2025-05-25,699,82.1,12,125,Needle Mark,26
95,1,KM-009,20220215,2022-02-15,616,83.7,8,73,Oil Spot,13
96,1,KM-008,20230122,2023-01-22,838,77.4,10,125,Oil Spot,19
97,1,KM-019,20250729,2025-07-29,680,86.3,18,183,Barré,15
98,1,KM-037,20240728,2024-07-28,883,88.1,9,119,Uneven Loop,59
99,1,KM-034,20220126,2022-01-26,850,88.3,11,140,Barré,35
100,1,KM-030,20250904,2025-09-04,742,65.4,14,155,Slub,60
101,1,KM-016,20250201,2025-02-01,726,73.8,17,185,Needle Mark,42
102,1,KM-010,20230210,2023-02-10,893,89.3,14,187,Hole,7
103,1,KM-031,20230117,2023-01-17,858,65.9,16,205,Uneven Loop,35
104,1,KM-045,20250503,2025-05-03,650,77.2,11,107,Hole,40
105,1,KM-049,20240224,2024-02-24,606,83.7,14,127,Needle Mark,13
106,1,KM-023,20240706,2024-07-06,751,71.5,9,101,Hole,35
107,1,KM-043,20251010,2025-10-10,756,69.4,15,170,Barré,52
108,1,KM-038,20230531,2023-05-31,612,91.4,15,137,Needle Mark,60
109,1,KM-046,20230320,2023-03-20,807,70.0,21,254,Oil Spot,45
110,1,KM-030,20220320,2022-03-20,600,88.2,9,81,Uneven Loop,49
111,1,KM-022,20220828,2022-08-28,871,65.9,14,182,Oil Spot,49
112,1,KM-040,20250120,2025-01-20,877,80.5,11,144,Slub,10
113,1,KM-040,20240913,2024-09-13,771,84.9,8,92,Barré,48
114,1,KM-024,20230223,2023-02-23,626,68.0,13,122,Uneven Loop,44
115,1,KM-003,20220113,2022-01-13,787,74.9,18,212,Barré,50
116,1,KM-005,20240911,2024-09-11,887,84.2,11,146,Needle Mark,26
117,1,KM-016,20231114,2023-11-14,876,68.1,15,197,Slub,53
118,1,KM-038,20231008,2023-10-08,707,85.3,20,212,Needle Mark,25
119,1,KM-023,20241121,2024-11-21,736,78.6,14,154,Oil Spot,8
120,1,KM-005,20230804,2023-08-04,790,74.3,15,177,Barré,38
121,1,KM-008,20240413,2024-04-13,840,84.2,18,226,Barré,23
122,1,KM-029,20241224,2024-12-24,788,86.6,19,224,Hole,17
123,1,KM-030,20250723,2025-07-23,644,67.2,22,212,Needle Mark,23
124,1,KM-005,20240320,2024-03-20,655,69.4,9,88,Slub,14
125,1,KM-032,20240825,2024-08-25,677,88.6,16,162,Slub,6
126,1,KM-019,20241031,2024-10-31,813,91.2,16,195,Needle Mark,35
127,1,KM-023,20220513,2022-05-13,815,77.0,18,220,Hole,23
128,1,KM-013,20230910,2023-09-10,632,65.6,20,189,Needle Mark,58
129,1,KM-034,20230108,2023-01-08,771,76.1,13,150,Slub,46
130,1,KM-021,20250506,2025-05-06,848,81.0,19,241,Barré,58
131,1,KM-036,20241018,2024-10-18,827,77.4,17,210,Needle Mark,55
132,1,KM-020,20240627,2024-06-27,687,86.3,11,113,Uneven Loop,28
133,1,KM-019,20251002,2025-10-02,624,69.0,12,112,Uneven Loop,15
134,1,KM-040,20220822,2022-08-22,682,84.2,12,122,Needle Mark,16
135,1,KM-046,20240926,2024-09-26,678,69.4,9,91,Hole,25
136,1,KM-037,20230605,2023-06-05,664,76.9,13,129,Needle Mark,18
137,1,KM-036,20250914,2025-09-14,617,83.0,13,120,Needle Mark,28
138,1,KM-029,20250921,2025-09-21,876,91.3,16,210,Oil Spot,12
139,1,KM-002,20250430,2025-04-30,807,90.1,20,242,Needle Mark,34
140,1,KM-021,20250513,2025-05-13,679,65.1,19,193,Barré,37
141,1,KM-022,20220527,2022-05-27,751,77.8,12,135,Barré,47
142,1,KM-010,20230320,2023-03-20,889,84.7,22,293,Uneven Loop,26
143,1,KM-045,20220114,2022-01-14,657,84.8,22,216,Hole,13
144,1,KM-044,20241021,2024-10-21,882,68.2,8,105,Uneven Loop,44
145,1,KM-015,20230116,2023-01-16,828,74.6,13,161,Hole,43
146,1,KM-042,20251003,2025-10-03,699,80.8,11,115,Oil Spot,17
147,1,KM-002,20251031,2025-10-31,642,79.5,15,144,Slub,47
148,1,KM-006,20230303,2023-03-03,862,75.6,15,193,Oil Spot,43
149,1,KM-039,20240529,2024-05-29,861,90.5,22,284,Slub,28
150,1,KM-026,20251119,2025-11-19,675,84.3,14,141,Oil Spot,29
151,1,KM-024,20221106,2022-11-06,606,72.7,13,118,Oil Spot,33
152,1,KM-036,20240916,2024-09-16,644,70.8,22,212,Uneven Loop,52
153,1,KM-027,20250212,2025-02-12,826,72.8,20,247,Slub,32
154,1,KM-047,20230525,2023-05-25,812,68.8,17,207,Barré,10
155,1,KM-010,20240201,2024-02-01,706,73.2,21,222,Barré,26
156,1,KM-005,20240708,2024-07-08,792,67.4,14,166,Slub,22
157,1,KM-027,20230224,2023-02-24,689,80.0,19,196,Barré,53
158,1,KM-009,20241110,2024-11-10,702,70.0,14,147,Oil Spot,40
159,1,KM-032,20220211,2022-02-11,621,87.2,12,111,Barré,24
160,1,KM-032,20230623,2023-06-23,886,85.0,11,146,Hole,55
161,1,KM-001,20220301,2022-03-01,678,72.1,18,183,Slub,35
162,1,KM-008,20220115,2022-01-15,747,76.3,15,168,Slub,46
163,1,KM-016,20230113,2023-01-13,614,68.2,12,110,Uneven Loop,9
164,1,KM-039,20220705,2022-07-05,785,80.7,17,200,Uneven Loop,60
165,1,KM-017,20220705,2022-07-05,843,91.3,21,265,Hole,28
166,1,KM-033,20220110,2022-01-10,894,65.5,12,160,Needle Mark,42
167,1,KM-004,20220316,2022-03-16,674,73.6,22,222,Slub,13
168,1,KM-023,20240830,2024-08-30,683,66.4,13,133,Uneven Loop,45
169,1,KM-023,20240109,2024-01-09,624,72.8,16,149,Slub,9
170,1,KM-033,20250818,2025-08-18,699,85.7,10,104,Hole,43
171,1,KM-049,20250706,2025-07-06,685,79.7,21,215,Oil Spot,57
172,1,KM-044,20250705,2025-07-05,754,72.3,19,214,Slub,28
173,1,KM-007,20250417,2025-04-17,873,80.7,21,274,Needle Mark,5
174,1,KM-009,20250115,2025-01-15,865,72.6,20,259,Uneven Loop,31
175,1,KM-022,20231216,2023-12-16,683,67.8,10,102,Barré,19
176,1,KM-013,20240928,2024-09-28,886,81.6,21,279,Barré,59
177,1,KM-035,20240201,2024-02-01,882,84.0,20,264,Hole,31
178,1,KM-030,20251010,2025-10-10,639,68.1,10,95,Hole,35
179,1,KM-023,20230226,2023-02-26,759,83.7,10,113,Uneven Loop,43
180,1,KM-034,20230930,2023-09-30,775,69.6,12,139,Hole,52
181,1,KM-008,20220502,2022-05-02,713,68.5,19,203,Needle Mark,49
182,1,KM-015,20230907,2023-09-07,757,68.4,10,113,Hole,32
183,1,KM-045,20240327,2024-03-27,657,67.1,20,197,Uneven Loop,53
184,1,KM-028,20250625,2025-06-25,621,70.3,8,74,Slub,37
185,1,KM-038,20221206,2022-12-06,630,77.7,22,207,Oil Spot,7
186,1,KM-005,20251007,2025-10-07,754,83.0,20,226,Hole,55
187,1,KM-008,20240705,2024-07-05,705,80.9,11,116,Needle Mark,47
188,1,KM-023,20251101,2025-11-01,614,67.5,21,193,Slub,22
189,1,KM-038,20230328,2023-03-28,778,74.5,21,245,Barré,54
190,1,KM-047,20250105,2025-01-05,723,78.6,9,97,Hole,57
191,1,KM-038,20220712,2022-07-12,607,79.3,19,172,Needle Mark,23
192,1,KM-011,20241101,2024-11-01,875,65.1,19,249,Hole,18
193,1,KM-033,20220907,2022-09-07,843,74.9,17,214,Needle Mark,33
194,1,KM-044,20251028,2025-10-28,654,69.9,13,127,Uneven Loop,32
195,1,KM-014,20230726,2023-07-26,863,71.1,9,116,Oil Spot,12
196,1,KM-030,20230212,2023-02-12,656,79.0,15,147,Oil Spot,50
197,1,KM-019,20240811,2024-08-11,885,84.5,9,119,Oil Spot,36
198,1,KM-008,20221206,2022-12-06,797,72.7,17,203,Slub,24
199,1,KM-044,20220227,2022-02-27,827,71.1,14,173,Oil Spot,59
200,1,KM-028,20230131,2023-01-31,696,88.1,22,229,Uneven Loop,48
201,1,KM-024,20220630,2022-06-30,691,65.3,18,186,Uneven Loop,48
202,1,KM-007,20220814,2022-08-14,802,76.8,18,216,Slub,10
203,1,KM-008,20220818,2022-08-18,673,75.7,19,191,Barré,11
204,1,KM-048,20241119,2024-11-19,686,66.7,11,113,Oil Spot,17
205,1,KM-039,20220706,2022-07-06,806,68.3,21,253,Uneven Loop,51
206,1,KM-032,20230711,2023-07-11,742,85.7,20,222,Barré,42
207,1,KM-018,20250722,2025-07-22,804,74.6,18,217,Barré,30
208,1,KM-032,20220708,2022-07-08,861,72.5,20,258,Uneven Loop,11
209,1,KM-008,20230715,2023-07-15,728,78.2,11,120,Slub,13
210,1,KM-002,20250921,2025-09-21,650,84.9,21,204,Hole,36
211,1,KM-044,20250524,2025-05-24,613,91.2,14,128,Barré,48
212,1,KM-021,20230406,2023-04-06,678,73.2,17,172,Hole,53
213,1,KM-005,20240703,2024-07-03,866,85.7,20,259,Uneven Loop,17
214,1,KM-019,20241108,2024-11-08,854,78.2,12,153,Barré,26
215,1,KM-035,20230406,2023-04-06,879,65.5,20,263,Hole,32
216,1,KM-008,20241015,2024-10-15,796,77.2,21,250,Uneven Loop,33
217,1,KM-030,20250621,2025-06-21,618,65.9,16,148,Slub,60
218,1,KM-050,20240313,2024-03-13,755,88.9,10,113,Uneven Loop,32
219,1,KM-009,20220205,2022-02-05,759,84.3,15,170,Hole,41
220,1,KM-044,20241019,2024-10-19,851,82.8,18,229,Barré,41
221,1,KM-031,20220730,2022-07-30,843,80.2,10,126,Barré,8
222,1,KM-026,20240409,2024-04-09,734,78.4,14,154,Barré,48
223,1,KM-023,20230107,2023-01-07,745,73.7,8,89,Barré,7
224,1,KM-009,20240716,2024-07-16,787,74.4,19,224,Barré,6
225,1,KM-049,20250921,2025-09-21,774,75.3,14,162,Oil Spot,27
226,1,KM-027,20241224,2024-12-24,779,66.5,11,128,Needle Mark,20
227,1,KM-042,20231026,2023-10-26,759,81.0,22,250,Slub,9
228,1,KM-020,20240621,2024-06-21,658,74.1,8,78,Barré,25
229,1,KM-003,20220228,2022-02-28,835,82.8,14,175,Barré,37
230,1,KM-027,20220727,2022-07-27,736,65.6,15,165,Barré,6
231,1,KM-021,20250820,2025-08-20,793,80.4,13,154,Barré,11
232,1,KM-032,20240708,2024-07-08,651,83.7,11,107,Oil Spot,36
233,1,KM-033,20220904,2022-09-04,773,69.5,12,139,Oil Spot,32
234,1,KM-013,20230716,2023-07-16,854,82.2,20,256,Hole,58
235,1,KM-035,20230627,2023-06-27,709,72.8,8,85,Oil Spot,41
236,1,KM-026,20250427,2025-04-27,715,81.9,9,96,Slub,59
237,1,KM-038,20250625,2025-06-25,648,81.0,12,116,Hole,41
238,1,KM-034,20250920,2025-09-20,843,76.5,13,164,Hole,46
239,1,KM-020,20250121,2025-01-21,858,86.7,14,180,Slub,39
240,1,KM-021,20240102,2024-01-02,702,76.2,12,126,Barré,37
241,1,KM-030,20250509,2025-05-09,880,69.9,8,105,Slub,50
242,1,KM-034,20241210,2024-12-10,695,80.6,11,114,Slub,57
243,1,KM-048,20231222,2023-12-22,839,72.2,18,226,Barré,56
244,1,KM-040,20230523,2023-05-23,822,90.2,19,234,Slub,8
245,1,KM-034,20240217,2024-02-17,702,74.8,10,105,Needle Mark,14
246,1,KM-048,20240626,2024-06-26,753,87.8,14,158,Oil Spot,60
247,1,KM-005,20220713,2022-07-13,704,87.8,12,126,Oil Spot,46
248,1,KM-011,20220822,2022-08-22,731,83.5,11,120,Uneven Loop,20
249,1,KM-008,20231013,2023-10-13,676,70.2,11,111,Oil Spot,34
250,1,KM-032,20230603,2023-06-03,886,91.8,14,186,Slub,7
251,1,KM-013,20241115,2024-11-15,681,72.4,8,81,Oil Spot,55
252,1,KM-018,20220422,2022-04-22,881,69.8,21,277,Hole,51
253,1,KM-032,20220616,2022-06-16,610,66.5,22,201,Hole,25
254,1,KM-039,20250327,2025-03-27,752,88.4,22,248,Uneven Loop,28
255,1,KM-043,20240413,2024-04-13,646,75.7,21,203,Slub,58
256,1,KM-009,20240614,2024-06-14,720,68.0,19,205,Barré,12
257,1,KM-034,20220424,2022-04-24,897,90.6,22,296,Barré,21
258,1,KM-032,20250303,2025-03-03,646,71.4,9,87,Oil Spot,26
259,1,KM-038,20230910,2023-09-10,799,86.8,19,227,Needle Mark,32
260,1,KM-014,20230608,2023-06-08,673,67.9,11,111,Oil Spot,33
261,1,KM-027,20231031,2023-10-31,730,88.3,8,87,Uneven Loop,39
262,1,KM-024,20220315,2022-03-15,657,73.5,14,137,Uneven Loop,48
263,1,KM-016,20220529,2022-05-29,742,88.7,22,244,Needle Mark,28
264,1,KM-031,20230711,2023-07-11,788,87.2,8,94,Slub,43
265,1,KM-003,20250513,2025-05-13,627,83.6,20,188,Slub,20
266,1,KM-017,20220601,2022-06-01,882,75.4,18,238,Slub,28
267,1,KM-044,20231007,2023-10-07,662,79.4,11,109,Uneven Loop,29
268,1,KM-001,20241003,2024-10-03,801,90.0,22,264,Oil Spot,24
269,1,KM-006,20240407,2024-04-07,720,73.0,21,226,Needle Mark,33
270,1,KM-041,20230704,2023-07-04,762,88.7,20,228,Slub,31
271,1,KM-003,20230613,2023-06-13,740,88.4,21,233,Uneven Loop,35
272,1,KM-048,20220702,2022-07-02,811,90.0,13,158,Slub,32
273,1,KM-007,20220703,2022-07-03,682,83.9,16,163,Hole,27
274,1,KM-027,20230103,2023-01-03,880,84.9,15,198,Slub,6
275,1,KM-049,20231006,2023-10-06,626,82.3,10,93,Slub,33
276,1,KM-042,20241011,2024-10-11,669,65.1,11,110,Slub,24
277,1,KM-021,20250620,2025-06-20,894,67.2,10,134,Needle Mark,38
278,1,KM-046,20240924,2024-09-24,666,87.9,18,179,Uneven Loop,55
279,1,KM-021,20251008,2025-10-08,831,77.9,19,236,Needle Mark,21
280,1,KM-012,20250912,2025-09-12,767,86.6,11,126,Hole,31
281,1,KM-024,20241024,2024-10-24,693,75.6,14,145,Barré,19
282,1,KM-002,20250705,2025-07-05,611,89.9,18,164,Barré,45
283,1,KM-015,20240527,2024-05-27,645,91.3,11,106,Oil Spot,49
284,1,KM-011,20230107,2023-01-07,625,75.8,14,131,Barré,21
285,1,KM-010,20250806,2025-08-06,645,90.9,10,96,Barré,12
286,1,KM-001,20220619,2022-06-19,869,76.7,22,286,Uneven Loop,57
287,1,KM-044,20240820,2024-08-20,853,68.2,19,243,Needle Mark,17
288,1,KM-018,20231009,2023-10-09,747,85.2,14,156,Needle Mark,32
289,1,KM-014,20230612,2023-06-12,710,91.9,12,127,Slub,48
290,1,KM-013,20230614,2023-06-14,814,69.9,20,244,Needle Mark,6
291,1,KM-019,20241215,2024-12-15,734,71.4,15,165,Needle Mark,28
292,1,KM-038,20221007,2022-10-07,834,67.3,15,187,Needle Mark,60
293,1,KM-021,20231128,2023-11-28,803,83.5,19,228,Uneven Loop,50
294,1,KM-028,20250221,2025-02-21,731,67.0,16,175,Hole,8
295,1,KM-022,20230223,2023-02-23,720,77.7,13,140,Barré,47
296,1,KM-039,20250704,2025-07-04,623,65.1,16,149,Barré,29
297,1,KM-020,20230203,2023-02-03,802,83.1,10,120,Barré,7
298,1,KM-038,20230903,2023-09-03,691,72.0,16,165,Uneven Loop,26
299,1,KM-030,20250615,2025-06-15,667,67.4,19,190,Barré,32
300,1,KM-010,20240531,2024-05-31,733,68.2,8,87,Needle Mark,36
301,1,KM-018,20241124,2024-11-24,784,90.0,12,141,Oil Spot,44
302,1,KM-049,20250405,2025-04-05,735,79.0,14,154,Needle Mark,25
303,1,KM-048,20240612,2024-06-12,851,85.6,10,127,Barré,59
304,1,KM-043,20240520,2024-05-20,825,66.4,10,123,Hole,19
305,1,KM-012,20240517,2024-05-17,618,77.7,10,92,Slub,34
306,1,KM-028,20220721,2022-07-21,659,91.9,22,217,Uneven Loop,7
307,1,KM-029,20230702,2023-07-02,782,91.7,16,187,Uneven Loop,34
308,1,KM-032,20221116,2022-11-16,657,87.8,21,206,Needle Mark,12
309,1,KM-023,20240702,2024-07-02,647,70.5,12,116,Needle Mark,58
310,1,KM-011,20220114,2022-01-14,860,87.2,17,219,Slub,42
311,1,KM-014,20230924,2023-09-24,898,91.9,8,107,Barré,54
312,1,KM-037,20250508,2025-05-08,692,76.2,9,93,Needle Mark,54
313,1,KM-032,20250131,2025-01-31,648,89.0,8,77,Oil Spot,48
314,1,KM-044,20241121,2024-11-21,662,75.6,17,168,Hole,58
315,1,KM-021,20240102,2024-01-02,678,65.8,15,152,Slub,47
316,1,KM-031,20240802,2024-08-02,832,82.0,12,149,Barré,47
317,1,KM-001,20221120,2022-11-20,768,91.2,18,207,Barré,33
318,1,KM-021,20240606,2024-06-06,891,68.5,21,280,Hole,56
319,1,KM-042,20220423,2022-04-23,744,73.7,8,89,Slub,9
320,1,KM-036,20251012,2025-10-12,795,67.5,12,143,Needle Mark,20
321,1,KM-050,20220807,2022-08-07,804,67.4,21,253,Needle Mark,15
322,1,KM-025,20250613,2025-06-13,806,72.7,20,241,Slub,14
323,1,KM-008,20250401,2025-04-01,752,78.3,14,157,Slub,56
324,1,KM-020,20220506,2022-05-06,667,74.7,9,90,Oil Spot,37
325,1,KM-013,20221209,2022-12-09,850,77.0,14,178,Uneven Loop,22
326,1,KM-037,20230930,2023-09-30,816,67.4,14,171,Oil Spot,44
327,1,KM-012,20241004,2024-10-04,822,82.0,9,110,Hole,37
328,1,KM-022,20241112,2024-11-12,837,83.3,18,225,Slub,50
329,1,KM-010,20230704,2023-07-04,853,79.2,18,230,Barré,10
330,1,KM-019,20230709,2023-07-09,839,76.8,22,276,Uneven Loop,24
331,1,KM-010,20231215,2023-12-15,665,83.5,12,119,Needle Mark,38
332,1,KM-028,20240211,2024-02-11,751,80.4,16,180,Hole,7
333,1,KM-033,20250201,2025-02-01,655,78.8,14,137,Hole,34
