ProductionID,OrderID,FactoryID,LineID,StyleID,DateKey,ProductionDate,TargetQty,ProducedQty,EfficiencyPct,DHU,AvailableMinutes,UsedMinutes,LostTimeMinutes
1,1,3,18,35,20250531,2025-05-31,1008,141,35.0,6.3,24600,3440.3999999999996,2990
2,1,3,24,35,20250531,2025-05-31,663,84,35.0,6.0,16200,2049.6,1592
3,1,3,22,35,20250531,2025-05-31,959,99,35.0,6.2,23400,2415.6,4124
4,1,3,18,35,20250601,2025-06-01,1008,114,35.0,1.3,24600,2781.6,1815
5,1,3,24,35,20250601,2025-06-01,663,83,35.0,6.7,16200,2025.1999999999998,2098
6,1,3,22,35,20250601,2025-06-01,959,45,35.0,3.7,23400,1098.0,3133
7,1,3,18,35,20250602,2025-06-02,1008,107,35.0,4.3,24600,2610.7999999999997,3970
8,1,3,24,35,20250602,2025-06-02,663,65,35.0,3.4,16200,1586.0,3230
9,1,3,22,35,20250602,2025-06-02,959,70,35.0,5.7,23400,1708.0,1624
10,1,3,18,35,20250603,2025-06-03,1008,62,35.0,6.1,24600,1512.8,2238
11,1,3,24,35,20250603,2025-06-03,663,111,35.0,6.2,16200,2708.3999999999996,2063
12,1,3,22,35,20250603,2025-06-03,959,93,35.0,5.1,23400,2269.2,4330
13,1,3,18,35,20250604,2025-06-04,1008,74,35.0,3.1,24600,1805.6,1835
14,1,3,24,35,20250604,2025-06-04,663,127,35.0,4.7,16200,3098.7999999999997,2227
15,1,3,22,35,20250604,2025-06-04,959,89,35.0,4.2,23400,2171.6,3366
16,1,3,18,35,20250605,2025-06-05,1008,68,35.0,3.5,24600,1659.1999999999998,2418
17,1,3,24,35,20250605,2025-06-05,663,64,35.0,5.0,16200,1561.6,2605
18,1,3,22,35,20250605,2025-06-05,959,42,35.0,3.0,23400,1024.8,4048
19,1,3,18,35,20250607,2025-06-07,1008,29,35.0,4.7,24600,707.5999999999999,4500
20,1,3,24,35,20250607,2025-06-07,663,113,35.0,4.0,16200,2757.2,2115
21,1,3,22,35,20250607,2025-06-07,959,101,35.0,2.6,23400,2464.3999999999996,2338
22,1,3,18,35,20250608,2025-06-08,1008,109,35.0,3.2,24600,2659.6,4362
23,1,3,24,35,20250608,2025-06-08,663,78,35.0,5.5,16200,1903.1999999999998,2471
24,1,3,22,35,20250608,2025-06-08,959,104,35.0,2.5,23400,2537.6,4310
25,1,3,18,35,20250609,2025-06-09,1008,102,35.0,5.5,24600,2488.7999999999997,3857
26,1,3,24,35,20250609,2025-06-09,663,72,35.0,6.3,16200,1756.8,2364
27,1,3,22,35,20250609,2025-06-09,959,92,35.0,4.4,23400,2244.7999999999997,4352
28,1,3,18,35,20250610,2025-06-10,1008,125,35.0,5.0,24600,3050.0,4608
29,1,3,24,35,20250610,2025-06-10,663,101,35.0,2.2,16200,2464.3999999999996,2064
30,1,3,22,35,20250610,2025-06-10,959,74,35.0,6.5,23400,1805.6,3726
31,1,3,18,35,20250611,2025-06-11,1008,66,35.0,4.2,24600,1610.3999999999999,1844
32,1,3,24,35,20250611,2025-06-11,663,139,35.0,5.1,16200,3391.6,1259
33,1,3,22,35,20250611,2025-06-11,959,125,35.0,7.0,23400,3050.0,1885
34,1,3,18,35,20250612,2025-06-12,1008,125,35.0,3.7,24600,3050.0,1533
35,1,3,24,35,20250612,2025-06-12,663,82,35.0,7.1,16200,2000.8,2400
36,1,3,22,35,20250612,2025-06-12,959,95,35.0,4.8,23400,2318.0,2467
37,1,3,18,35,20250614,2025-06-14,1008,146,35.0,4.3,24600,3562.3999999999996,1723
38,1,3,24,35,20250614,2025-06-14,663,87,35.0,5.5,16200,2122.7999999999997,1813
39,1,3,22,35,20250614,2025-06-14,959,91,35.0,4.3,23400,2220.4,2665
40,1,3,18,35,20250615,2025-06-15,1008,55,35.0,3.6,24600,1342.0,4023
41,1,3,24,35,20250615,2025-06-15,663,83,35.0,2.2,16200,2025.1999999999998,2829
42,1,3,22,35,20250615,2025-06-15,959,95,35.0,5.1,23400,2318.0,2810
43,1,3,18,35,20250616,2025-06-16,1008,133,35.0,5.5,24600,3245.2,4489
44,1,3,24,35,20250616,2025-06-16,663,80,35.0,5.0,16200,1952.0,2667
45,1,3,22,35,20250616,2025-06-16,959,94,35.0,4.7,23400,2293.6,4433
46,1,3,18,35,20250617,2025-06-17,1008,143,35.0,4.7,24600,3489.2,1508
47,1,3,24,35,20250617,2025-06-17,663,65,35.0,8.3,16200,1586.0,3154
48,1,3,22,35,20250617,2025-06-17,959,89,35.0,4.5,23400,2171.6,1590
49,1,3,18,35,20250618,2025-06-18,1008,130,35.0,3.3,24600,3172.0,1578
50,1,3,24,35,20250618,2025-06-18,663,99,35.0,4.1,16200,2415.6,1266
51,1,3,22,35,20250618,2025-06-18,959,92,35.0,3.6,23400,2244.7999999999997,4504
52,1,3,18,35,20250619,2025-06-19,1008,79,35.0,6.8,24600,1927.6,4736
53,1,3,24,35,20250619,2025-06-19,663,42,35.0,3.1,16200,1024.8,1988
54,1,3,22,35,20250619,2025-06-19,959,75,35.0,1.3,23400,1830.0,4346
55,1,3,18,35,20250621,2025-06-21,1008,35,35.0,3.3,24600,854.0,3015
56,1,3,24,35,20250621,2025-06-21,663,127,35.0,3.8,16200,3098.7999999999997,3076
57,1,3,22,35,20250621,2025-06-21,959,121,35.0,4.5,23400,2952.3999999999996,3801
58,1,3,18,35,20250622,2025-06-22,1008,111,35.0,1.9,24600,2708.3999999999996,3772
59,1,3,24,35,20250622,2025-06-22,663,87,35.0,4.0,16200,2122.7999999999997,3223
60,1,3,22,35,20250622,2025-06-22,959,54,35.0,6.3,23400,1317.6,2223
61,1,3,18,35,20250623,2025-06-23,1008,78,35.0,2.5,24600,1903.1999999999998,2141
62,1,3,24,35,20250623,2025-06-23,663,80,35.0,3.1,16200,1952.0,2348
63,1,3,22,35,20250623,2025-06-23,959,93,35.0,2.5,23400,2269.2,2896
64,1,3,18,35,20250624,2025-06-24,1008,113,35.0,3.8,24600,2757.2,3215
65,1,3,24,35,20250624,2025-06-24,663,82,35.0,3.7,16200,2000.8,3179
66,1,3,22,35,20250624,2025-06-24,959,89,35.0,2.6,23400,2171.6,2981
67,1,3,18,35,20250625,2025-06-25,1008,109,35.0,1.0,24600,2659.6,2275
68,1,3,24,35,20250625,2025-06-25,663,93,35.0,3.0,16200,2269.2,3087
69,1,3,22,35,20250625,2025-06-25,959,100,35.0,3.4,23400,2440.0,2838
70,1,3,18,35,20250626,2025-06-26,1008,108,35.0,3.8,24600,2635.2,3048
71,1,3,24,35,20250626,2025-06-26,663,53,35.0,7.6,16200,1293.1999999999998,1156
72,1,3,22,35,20250626,2025-06-26,959,51,35.0,7.2,23400,1244.3999999999999,1688
73,1,3,18,35,20250628,2025-06-28,1008,87,35.0,4.5,24600,2122.7999999999997,2194
74,1,3,24,35,20250628,2025-06-28,663,100,35.0,4.7,16200,2440.0,1360
75,1,3,22,35,20250628,2025-06-28,959,130,35.0,1.8,23400,3172.0,2879
76,1,3,18,35,20250629,2025-06-29,1008,55,35.0,7.0,24600,1342.0,1987
77,1,3,24,35,20250629,2025-06-29,663,94,35.0,4.0,16200,2293.6,1513
78,1,3,22,35,20250629,2025-06-29,959,101,35.0,5.5,23400,2464.3999999999996,1566
79,1,3,18,35,20250630,2025-06-30,1008,73,35.0,3.1,24600,1781.1999999999998,3523
80,1,3,24,35,20250630,2025-06-30,663,72,35.0,2.4,16200,1756.8,1387
81,1,3,22,35,20250630,2025-06-30,959,56,35.0,8.6,23400,1366.3999999999999,2440
82,1,3,18,35,20250701,2025-07-01,1008,34,35.0,4.9,24600,829.5999999999999,2657
83,1,3,24,35,20250701,2025-07-01,663,96,35.0,2.0,16200,2342.3999999999996,1979
84,1,3,22,35,20250701,2025-07-01,959,52,35.0,4.0,23400,1268.8,2781
85,1,3,18,35,20250702,2025-07-02,1008,100,35.0,1.5,24600,2440.0,3968
86,1,3,24,35,20250702,2025-07-02,663,71,35.0,4.4,16200,1732.3999999999999,1011
87,1,3,22,35,20250702,2025-07-02,959,80,35.0,2.4,23400,1952.0,1551
88,1,3,18,35,20250703,2025-07-03,1008,108,35.0,4.0,24600,2635.2,1786
89,1,3,24,35,20250703,2025-07-03,663,94,35.0,4.8,16200,2293.6,1153
90,1,3,22,35,20250703,2025-07-03,959,81,35.0,3.4,23400,1976.3999999999999,4123
91,1,3,18,35,20250705,2025-07-05,1008,68,35.0,3.3,24600,1659.1999999999998,3803
92,1,3,24,35,20250705,2025-07-05,663,82,35.0,3.4,16200,2000.8,1642
93,1,3,22,35,20250705,2025-07-05,959,90,35.0,6.3,23400,2196.0,3521
94,1,3,18,35,20250706,2025-07-06,1008,119,35.0,3.0,24600,2903.6,4763
95,1,3,24,35,20250706,2025-07-06,663,153,35.0,8.9,16200,3733.2,1237
96,1,3,22,35,20250706,2025-07-06,959,115,35.0,4.0,23400,2806.0,1846
97,1,3,18,35,20250707,2025-07-07,1008,95,35.0,5.4,24600,2318.0,2925
98,1,3,24,35,20250707,2025-07-07,663,60,35.0,4.7,16200,1464.0,1465
99,1,3,22,35,20250707,2025-07-07,959,69,35.0,2.3,23400,1683.6,4403
100,1,3,18,35,20250708,2025-07-08,1008,99,35.0,1.1,24600,2415.6,2034
101,1,3,24,35,20250708,2025-07-08,663,99,35.0,7.0,16200,2415.6,1969
102,1,3,22,35,20250708,2025-07-08,959,104,35.0,4.8,23400,2537.6,3254
103,1,3,18,35,20250709,2025-07-09,1008,81,35.0,6.3,24600,1976.3999999999999,1774
104,1,3,24,35,20250709,2025-07-09,663,72,35.0,3.7,16200,1756.8,1737
105,1,3,22,35,20250709,2025-07-09,959,108,35.0,2.1,23400,2635.2,4668
106,1,3,18,35,20250710,2025-07-10,1008,111,35.0,5.0,24600,2708.3999999999996,2083
107,1,3,24,35,20250710,2025-07-10,663,64,35.0,3.8,16200,1561.6,3027
108,1,3,22,35,20250710,2025-07-10,959,79,35.0,2.0,23400,1927.6,4335
109,1,3,18,35,20250712,2025-07-12,1008,107,35.0,4.6,24600,2610.7999999999997,4666
110,1,3,24,35,20250712,2025-07-12,663,148,35.0,2.8,16200,3611.2,1494
111,1,3,22,35,20250712,2025-07-12,959,72,35.0,6.1,23400,1756.8,2429
112,1,3,18,35,20250713,2025-07-13,1008,92,35.0,3.1,24600,2244.7999999999997,2319
113,1,3,24,35,20250713,2025-07-13,663,78,35.0,3.7,16200,1903.1999999999998,1541
